"ESTU_GENERO","ESTU_CONSECUTIVO","ESTU_TIENEETNIA","ESTU_DEPTO_RESIDE","ESTU_COD_RESIDE_DEPTO","FAMI_ESTRATOVIVIENDA","FAMI_EDUCACIONPADRE","FAMI_EDUCACIONMADRE","FAMI_TRABAJOLABORPADRE","FAMI_TRABAJOLABORMADRE","FAMI_NUMLIBROS","ESTU_DEDICACIONLECTURADIARIA","ESTU_DEDICACIONINTERNET","ESTU_HORASSEMANATRABAJA","COLE_NATURALEZA","COLE_BILINGUE","COLE_JORNADA","PUNT_LECTURA_CRITICA","PUNT_MATEMATICAS","PUNT_C_NATURALES","PUNT_SOCIALES_CIUDADANAS","PUNT_INGLES","PUNT_GLOBAL"
"F","SB11202040481106","No","ANTIOQUIA",5,"Estrato 2","Educación profesional completa","Primaria incompleta","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Más de 2 horas","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",65,50,59,63,56,295
"F","SB11202040333564","No","VALLE",76,"Estrato 1","Primaria incompleta","Secundaria (Bachillerato) incompleta","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","30 minutos o menos","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",41,51,35,45,47,217
"F","SB11202040573738",NA,"ATLANTICO",8,"Estrato 3","Técnica o tecnológica completa","Técnica o tecnológica completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS",NA,NA,"0","NO OFICIAL",NA,"MAÑANA",43,34,42,44,46,206
"F","SB11202040207382","No","ANTIOQUIA",5,"Estrato 2","Secundaria (Bachillerato) completa","Primaria completa","No sabe","Es agricultor, pesquero o jornalero","0 A 10 LIBROS","No leo por entretenimiento","Más de 3 horas","0","OFICIAL","N","COMPLETA",64,60,59,55,52,295
"M","SB11202040460309","No","ATLANTICO",8,"Estrato 2","Secundaria (Bachillerato) completa","Primaria incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","0","OFICIAL",NA,"MAÑANA",50,51,33,46,49,227
"F","SB11202040116705","No","MAGDALENA",47,"Estrato 4","Educación profesional completa","Educación profesional completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","0","NO OFICIAL","N","COMPLETA",73,76,65,65,76,351
"M","SB11202040057617","No","BOYACA",15,"Estrato 2","Secundaria (Bachillerato) incompleta","Técnica o tecnológica completa","Es operario de máquinas o conduce vehículos (taxita, chofer)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","MÁS DE 100 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","COMPLETA",65,62,60,56,46,298
"F","SB11202040114316","No","BOGOTÁ",11,"Estrato 4","Educación profesional completa","Educación profesional completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","26 A 100 LIBROS","30 minutos o menos","Más de 3 horas","Menos de 10 horas","NO OFICIAL",NA,"COMPLETA",56,59,55,56,62,285
"M","SB11202040132471","No","VALLE",76,"Estrato 1","No sabe","Primaria incompleta","No sabe","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","0 A 10 LIBROS","30 minutos o menos","30 minutos o menos","Más de 30 horas","NO OFICIAL","N","MAÑANA",53,59,52,43,31,251
"M","SB11202040195386","No","BOYACA",15,"Estrato 3","Primaria incompleta","Secundaria (Bachillerato) incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Trabaja por cuenta propia (por ejemplo plomero, electricista)","0 A 10 LIBROS","No leo por entretenimiento","Más de 3 horas","0","OFICIAL","N","COMPLETA",65,68,65,70,72,337
"M","SB11202040159449","No","BOGOTÁ",11,"Estrato 1","No Aplica","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","11 A 25 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","0","OFICIAL","N","TARDE",49,46,46,53,48,242
"F","SB11202040093075","No","BOGOTÁ",11,"Estrato 2","Primaria incompleta","Primaria incompleta","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","11 A 25 LIBROS","Entre 1 y 2 horas","Más de 3 horas","0","OFICIAL","N","TARDE",56,60,55,62,39,284
"F","SB11202040109444","No","BOGOTÁ",11,"Estrato 2","Educación profesional completa","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","NO OFICIAL","N","COMPLETA",65,60,54,59,48,293
"M","SB11202040231247","No","CESAR",20,"Sin Estrato","Primaria incompleta","Primaria incompleta","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","Entre 1 y 2 horas","Entre 30 y 60 minutos","0","OFICIAL",NA,"TARDE",45,41,42,33,34,199
"M","SB11202040086077","No","CESAR",20,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","Pensionado","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","No leo por entretenimiento","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",52,56,51,45,55,257
"M","SB11202040342692","No","TOLIMA",73,"Estrato 1","No Aplica","Primaria incompleta","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","30 minutos o menos","Entre 11 y 20 horas","OFICIAL",NA,"UNICA",42,44,27,44,41,197
"M","SB11202040092182","No","BOGOTÁ",11,"Estrato 4","Educación profesional completa","Educación profesional completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja por cuenta propia (por ejemplo plomero, electricista)","MÁS DE 100 LIBROS","No leo por entretenimiento","Más de 3 horas","Entre 21 y 30 horas","NO OFICIAL","N","MAÑANA",53,72,62,69,78,325
"M","SB11202040563126","No","ANTIOQUIA",5,"Estrato 2","Técnica o tecnológica completa","Secundaria (Bachillerato) incompleta","Es operario de máquinas o conduce vehículos (taxita, chofer)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","26 A 100 LIBROS","Entre 1 y 2 horas","Entre 1 y 3 horas","0","OFICIAL","N","COMPLETA",60,60,50,62,67,293
"M","SB11202040531709","No","ARAUCA",81,"Estrato 1","Técnica o tecnológica completa","Técnica o tecnológica completa","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","0","OFICIAL","N","MAÑANA",44,52,42,36,44,218
"F","SB11202040173198","Si","CORDOBA",23,"Estrato 1","Primaria incompleta","Primaria incompleta","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL","N","MAÑANA",53,46,43,36,44,222
"M","SB11202040531803","No","ATLANTICO",8,"Estrato 1","Secundaria (Bachillerato) completa","Primaria completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Menos de 10 horas","OFICIAL","N","TARDE",42,29,37,38,35,182
"F","SB11202040033406","No","ATLANTICO",8,"Estrato 2","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Pensionado","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","Más de 2 horas","Más de 3 horas","0","OFICIAL","N","UNICA",64,62,63,53,44,296
"M","SB11202040495327","No","VALLE",76,"Estrato 4","Técnica o tecnológica completa","Secundaria (Bachillerato) incompleta","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","Entre 11 y 20 horas","OFICIAL","N","TARDE",46,53,33,25,45,198
"M","SB11202040483209","No","MAGDALENA",47,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es vendedor o trabaja en atención al público","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","26 A 100 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL",NA,"UNICA",42,63,37,31,41,215
"F","SB11202040072370","No","ANTIOQUIA",5,"Estrato 1","Secundaria (Bachillerato) incompleta","Secundaria (Bachillerato) completa","Trabaja en el hogar, no trabaja o estudia","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","Menos de 10 horas","OFICIAL","N","COMPLETA",53,32,40,38,35,202
"M","SB11202040117099","No","TOLIMA",73,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",35,44,48,37,49,208
"M","SB11202040221914","No","ANTIOQUIA",5,"Estrato 5","Secundaria (Bachillerato) completa","Técnica o tecnológica completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","Entre 1 y 3 horas","Entre 11 y 20 horas","NO OFICIAL","N","MAÑANA",47,63,48,43,66,257
"F","SB11202040200300","No","ANTIOQUIA",5,"Estrato 1","Primaria incompleta","Secundaria (Bachillerato) completa","Es vendedor o trabaja en atención al público","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","30 minutos o menos","Más de 3 horas","0","OFICIAL","N","COMPLETA",27,30,37,27,44,157
"M","SB11202040518458","No","CAQUETA",18,"Estrato 2","Educación profesional completa","Secundaria (Bachillerato) incompleta","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","0","OFICIAL","N","UNICA",50,53,46,41,43,236
"F","SB11202040454329","No","BOLIVAR",13,"Estrato 3","Educación profesional completa","Educación profesional completa","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","11 A 25 LIBROS","30 minutos o menos","Entre 1 y 3 horas","0","NO OFICIAL","N","COMPLETA",71,61,67,62,79,332
"M","SB11202040016674","No","RISARALDA",66,"Estrato 1","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","Entre 21 y 30 horas","OFICIAL","N","UNICA",54,60,54,60,44,280
"M","SB11202040332098","No","NORTE SANTANDER",54,"Estrato 1","Primaria incompleta","Secundaria (Bachillerato) completa","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","11 A 25 LIBROS","No leo por entretenimiento","Entre 30 y 60 minutos","0","OFICIAL","N","UNICA",54,56,59,54,39,272
"F","SB11202040000222","No","ANTIOQUIA",5,"Estrato 3","No sabe","Secundaria (Bachillerato) completa","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)","11 A 25 LIBROS","Entre 30 y 60 minutos","Más de 3 horas","0","NO OFICIAL","N","COMPLETA",55,56,31,44,41,230
"M","SB11202040342843","No","CORDOBA",23,"Estrato 1","Primaria completa","Secundaria (Bachillerato) incompleta","Trabaja en el hogar, no trabaja o estudia","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","Entre 30 y 60 minutos","No Navega Internet","0","OFICIAL","N","TARDE",47,48,42,41,46,223
"M","SB11202040114117","Si","CHOCO",27,"Estrato 3","Secundaria (Bachillerato) incompleta","No sabe","No sabe","No sabe","26 A 100 LIBROS","Entre 1 y 2 horas","Más de 3 horas","0","OFICIAL","N","MAÑANA",52,46,48,51,42,243
"F","SB11202040405262","No","ANTIOQUIA",5,"Estrato 1","Secundaria (Bachillerato) completa","Técnica o tecnológica incompleta","Trabaja por cuenta propia (por ejemplo plomero, electricista)","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","11 A 25 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","Entre 11 y 20 horas","OFICIAL","N","MAÑANA",43,34,42,35,40,193
"M","SB11202040307389","No","META",50,"Estrato 3","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","Trabaja en el hogar, no trabaja o estudia","26 A 100 LIBROS","30 minutos o menos","Más de 3 horas","Entre 11 y 20 horas","OFICIAL",NA,"MAÑANA",51,48,51,37,37,230
"F","SB11202040412214","No","CORDOBA",23,"Estrato 1","No sabe","Primaria completa","No sabe","Trabaja como personal de limpieza, mantenimiento, seguridad o construcción","0 A 10 LIBROS","No leo por entretenimiento","Más de 3 horas","0","OFICIAL","N","UNICA",63,49,46,53,35,257
"F","SB11202040472692","No","BOLIVAR",13,"Estrato 1","Técnica o tecnológica incompleta","Educación profesional completa","Es agricultor, pesquero o jornalero","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","0 A 10 LIBROS","Entre 30 y 60 minutos","Entre 30 y 60 minutos","0","OFICIAL","N","MAÑANA",57,37,54,54,38,248
"M","SB11202040463755","No","BOGOTÁ",11,"Estrato 6","Técnica o tecnológica completa","Técnica o tecnológica incompleta","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Trabaja en el hogar, no trabaja o estudia","MÁS DE 100 LIBROS","Entre 1 y 2 horas","Entre 1 y 3 horas","Menos de 10 horas","NO OFICIAL",NA,"MAÑANA",66,66,71,74,70,347
"M","SB11202040151549","No","TOLIMA",73,"Estrato 2","Técnica o tecnológica completa","Secundaria (Bachillerato) completa","Trabaja como profesional (por ejemplo médico, abogado, ingeniero)","Trabaja en el hogar, no trabaja o estudia","11 A 25 LIBROS","No leo por entretenimiento","Entre 1 y 3 horas","0","OFICIAL","N","MAÑANA",55,63,58,49,50,279
"F","SB11202040328785","No","BOYACA",15,"Estrato 3","Ninguno","Ninguno","Es agricultor, pesquero o jornalero","Trabaja en el hogar, no trabaja o estudia","0 A 10 LIBROS","Entre 1 y 2 horas","30 minutos o menos","0","OFICIAL","N","MAÑANA",49,42,50,41,47,228
"M","SB11202040448126","No","ATLANTICO",8,NA,"Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc","MÁS DE 100 LIBROS","Entre 30 y 60 minutos","No Navega Internet","Entre 11 y 20 horas","NO OFICIAL","N","NOCHE",31,32,30,33,40,161
"F","SB11202040415978","No","SANTANDER",68,"Estrato 2","Secundaria (Bachillerato) completa","Secundaria (Bachillerato) completa","Es vendedor o trabaja en atención al público","Es vendedor o trabaja en atención al público","0 A 10 LIBROS","30 minutos o menos","Entre 1 y 3 horas","Más de 30 horas","NO OFICIAL","N","MAÑANA",49,51,48,41,43,235
"M","SB11202040448627","No","BOYACA",15,"Estrato 2","Primaria completa","Educación profesional completa","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","Es dueño de un negocio grande, tiene un cargo de nivel directivo o gerencial","0 A 10 LIBROS","30 minutos o menos","Entre 30 y 60 minutos","0","OFICIAL","N","UNICA",47,44,42,45,34,218
